target,horizon,model,n,pos_rate,accuracy,precision,recall,f1,auc,hit@60,cov@60,hit@70,cov@70,composite
ktb_10y,10,ensemble,962,0.524948024948025,0.4553014553014553,0.47983014861995754,0.44752475247524753,0.46311475409836067,0.4770977316550036,0.4698972099853157,0.7079002079002079,0.5014164305949008,0.36694386694386694,0.6357996798146721
ktb_10y,10,et,962,0.524948024948025,0.446985446985447,0.4649350649350649,0.35445544554455444,0.40224719101123596,0.49063414000043326,0.6030150753768844,0.20686070686070687,,0.0010395010395010396,0.5518359038258511
ktb_10y,10,gbm,962,0.524948024948025,0.4812889812889813,0.5066964285714286,0.4495049504950495,0.47639034627492133,0.4997421842840739,0.4896988906497623,0.6559251559251559,0.5369774919614148,0.3232848232848233,0.6602622829782306
ktb_10y,10,lgbm,962,0.524948024948025,0.4573804573804574,0.48123620309050774,0.4316831683168317,0.4551148225469729,0.46389930021448533,0.44801026957637996,0.8097713097713097,0.45563139931740615,0.6091476091476091,0.6321954080885555
ktb_10y,10,logreg,962,0.524948024948025,0.4864864864864865,0.5108055009823183,0.5148514851485149,0.5128205128205128,0.47245271573109165,0.48614318706697457,0.9002079002079002,0.49548387096774194,0.8056133056133056,0.6792121682495839
ktb_10y,10,rf,962,0.524948024948025,0.4521829521829522,0.47533632286995514,0.4198019801980198,0.4458464773922187,0.4884936196026605,0.5460526315789473,0.316008316008316,0.6428571428571429,0.014553014553014554,0.5727866974135146
ktb_10y,10,xgb,962,0.524948024948025,0.47297297297297297,0.4977168949771689,0.4316831683168317,0.4623541887592789,0.4724830469917889,0.45260347129506007,0.7785862785862786,0.45539033457249073,0.5592515592515592,0.6389817506614525
ktb_10y,20,ensemble,1548,0.5129198966408268,0.5193798449612403,0.5377643504531722,0.44836272040302266,0.489010989010989,0.5329644081272675,0.5363881401617251,0.7189922480620154,0.539906103286385,0.4127906976744186,0.738506883354644
ktb_10y,20,et,1548,0.5129198966408268,0.5155038759689923,0.5372881355932203,0.3992443324937028,0.45809248554913296,0.5401936940849474,0.5643382352941176,0.35142118863049093,0.18181818181818182,0.028423772609819122,0.6473251308317683
ktb_10y,20,gbm,1548,0.5129198966408268,0.524547803617571,0.5378590078328982,0.5188916876574308,0.5282051282051282,0.5334488103748939,0.547136563876652,0.7332041343669251,0.5469845722300141,0.46059431524547806,0.7474486238392409
ktb_10y,20,lgbm,1548,0.5129198966408268,0.5251937984496124,0.5466034755134281,0.4357682619647355,0.4849334267694464,0.5393501660330462,0.5312989045383412,0.8255813953488372,0.5354969574036511,0.6369509043927648,0.7759255941573604
ktb_10y,20,logreg,1548,0.5129198966408268,0.4883720930232558,0.5014836795252225,0.4256926952141058,0.4604904632152589,0.5062404372314909,0.48851774530271397,0.9282945736434108,0.4939117199391172,0.8488372093023255,0.73581458899926
ktb_10y,20,rf,1548,0.5129198966408268,0.5239018087855297,0.5443234836702955,0.44080604534005036,0.4871259568545581,0.5342622720803907,0.528169014084507,0.3669250645994832,0.484375,0.041343669250646,0.6378014720959702
ktb_10y,20,xgb,1548,0.5129198966408268,0.5297157622739018,0.5514018691588785,0.44584382871536526,0.49303621169916434,0.5502943161242475,0.5378221113881961,0.7771317829457365,0.547945205479452,0.5658914728682171,0.7802945890779867
ktb_30y,10,ensemble,962,0.5280665280665281,0.4792099792099792,0.5070993914807302,0.4921259842519685,0.4995004995004995,0.489862638315585,0.4715821812596006,0.6767151767151767,0.5139664804469274,0.37214137214137216,0.6461909438903091
ktb_30y,10,et,962,0.5280665280665281,0.47193347193347196,0.5,0.4566929133858268,0.4773662551440329,0.48569582711852655,0.5544041450777202,0.20062370062370063,,0.004158004158004158,0.5397181280558262
ktb_30y,10,gbm,962,0.5280665280665281,0.49480249480249483,0.5217391304347826,0.5196850393700787,0.5207100591715976,0.5054936001942488,0.5,0.6673596673596673,0.5324675324675324,0.3201663201663202,0.6741666206332861
ktb_30y,10,lgbm,962,0.5280665280665281,0.4760914760914761,0.5044052863436124,0.4507874015748031,0.4760914760914761,0.48670175864580795,0.46675191815856776,0.8128898128898129,0.4724689165186501,0.5852390852390852,0.671365107820153
ktb_30y,10,logreg,962,0.5280665280665281,0.49064449064449067,0.518,0.5098425196850394,0.5138888888888888,0.48627683929376664,0.4932279909706546,0.920997920997921,0.4917617237008872,0.8201663201663202,0.7071739066236793
ktb_30y,10,rf,962,0.5280665280665281,0.47713097713097713,0.5050709939148073,0.49015748031496065,0.4975024975024975,0.49409015227722086,0.5410447761194029,0.2785862785862786,0.75,0.012474012474012475,0.5685632001776335
ktb_30y,10,xgb,962,0.5280665280665281,0.47193347193347196,0.5,0.4704724409448819,0.4847870182555781,0.49020083943251586,0.48326639892904955,0.7765072765072765,0.4867924528301887,0.5509355509355509,0.6741535452902478
ktb_30y,20,ensemble,1548,0.5284237726098191,0.539405684754522,0.579185520361991,0.46943765281173594,0.5185685347738015,0.5469621864219446,0.541,0.6459948320413437,0.5141242937853108,0.3430232558139535,0.7381162838730247
ktb_30y,20,et,1548,0.5284237726098191,0.5264857881136951,0.5616835994194485,0.4731051344743276,0.5136031851360319,0.5456794051646181,0.5833333333333334,0.3798449612403101,0.49230769230769234,0.04198966408268734,0.6665889891255122
ktb_30y,20,gbm,1548,0.5284237726098191,0.5348837209302325,0.5662162162162162,0.5122249388753056,0.5378690629011553,0.5441027229795358,0.5515610217596972,0.6828165374677002,0.5409015025041736,0.38695090439276486,0.7490199629647227
ktb_30y,20,lgbm,1548,0.5284237726098191,0.5239018087855297,0.5609022556390978,0.4559902200488998,0.5030343897505057,0.5486033425997253,0.5318979266347688,0.810077519379845,0.54858934169279,0.6182170542635659,0.7849847570144648
ktb_30y,20,logreg,1548,0.5284237726098191,0.5103359173126615,0.5487012987012987,0.4132029339853301,0.4714086471408647,0.5041045650936129,0.5146036161335188,0.9289405684754521,0.5080583269378358,0.8417312661498708,0.745084783549216
ktb_30y,20,rf,1548,0.5284237726098191,0.520671834625323,0.5519125683060109,0.4938875305623472,0.5212903225806451,0.5485564524232174,0.564935064935065,0.3979328165374677,0.5294117647058824,0.05490956072351421,0.6718753448284368
ktb_30y,20,xgb,1548,0.5284237726098191,0.5258397932816538,0.565015479876161,0.44621026894865523,0.49863387978142076,0.5422631208761765,0.5290598290598291,0.7558139534883721,0.5430932703659976,0.5471576227390181,0.7590983093919086
ktb_3y,10,ensemble,962,0.4979209979209979,0.44490644490644493,0.43982494529540483,0.4196242171189979,0.42948717948717946,0.4776730334504683,0.4520166898470097,0.7474012474012474,0.5101522842639594,0.4095634095634096,0.6390490582648156
