target,horizon,model,n,pos_rate,accuracy,precision,recall,f1,auc,hit@60,cov@60,hit@70,cov@70,composite
ktb_10y,10,ensemble,962,0.524948024948025,0.4553014553014553,0.47983014861995754,0.44752475247524753,0.46311475409836067,0.4770977316550036,0.4698972099853157,0.7079002079002079,0.5014164305949008,0.36694386694386694,0.6357996798146721
ktb_10y,20,ensemble,1548,0.5129198966408268,0.5193798449612403,0.5377643504531722,0.44836272040302266,0.489010989010989,0.5329644081272675,0.5363881401617251,0.7189922480620154,0.539906103286385,0.4127906976744186,0.738506883354644
ktb_30y,10,ensemble,962,0.5280665280665281,0.4792099792099792,0.5070993914807302,0.4921259842519685,0.4995004995004995,0.489862638315585,0.4715821812596006,0.6767151767151767,0.5139664804469274,0.37214137214137216,0.6461909438903091
ktb_30y,20,ensemble,1548,0.5284237726098191,0.539405684754522,0.579185520361991,0.46943765281173594,0.5185685347738015,0.5469621864219446,0.541,0.6459948320413437,0.5141242937853108,0.3430232558139535,0.7381162838730247
ktb_3y,10,ensemble,962,0.4979209979209979,0.44490644490644493,0.43982494529540483,0.4196242171189979,0.42948717948717946,0.4776730334504683,0.4520166898470097,0.7474012474012474,0.5101522842639594,0.4095634095634096,0.6390490582648156
ktb_3y,20,ensemble,1548,0.501937984496124,0.5012919896640827,0.5037369207772795,0.4337194337194337,0.4661134163208852,0.5153113090856282,0.5067385444743935,0.7189922480620154,0.5463258785942492,0.4043927648578811,0.7030603906904694
ktb_5y,10,ensemble,962,0.5135135135135135,0.4792099792099792,0.49266247379454925,0.4757085020242915,0.4840370751802266,0.48216201252638496,0.4699853587115666,0.7099792099792099,0.4860050890585242,0.4085239085239085,0.643049752672923
ktb_5y,20,ensemble,1548,0.5058139534883721,0.5148578811369509,0.5258064516129032,0.4163473818646232,0.4647184604419102,0.5237556240035393,0.5329619312906221,0.6957364341085271,0.5257903494176372,0.38824289405684753,0.7179647507335338
spread_aa_3y,10,ensemble,962,0.5155925155925156,0.5395010395010394,0.545144804088586,0.6451612903225806,0.5909510618651893,0.5819301190641007,0.5578034682080925,0.7193347193347194,0.5929203539823009,0.4698544698544699,0.815428067046162
spread_aa_3y,20,ensemble,1548,0.5271317829457365,0.5310077519379846,0.5495594713656388,0.6115196078431373,0.5788863109048724,0.5828729374263366,0.5664335664335665,0.7390180878552972,0.6064102564102564,0.5038759689922481,0.8268662600699195
spread_bbb_3y,10,ensemble,962,0.4781704781704782,0.5613305613305614,0.532871972318339,0.6695652173913044,0.5934489402697495,0.6017884981811884,0.5721925133689839,0.7775467775467776,0.59375,0.498960498960499,0.8695280794925695
spread_bbb_3y,20,ensemble,1548,0.4689922480620155,0.5936692506459949,0.5516506922257721,0.7134986225895317,0.6222222222222222,0.6394267827579042,0.6119900083263947,0.7758397932816538,0.6424936386768448,0.5077519379844961,0.9430305846487695
spread_kepco_5y,10,ensemble,962,0.4885654885654886,0.606029106029106,0.5813953488372093,0.6914893617021277,0.6316812439261419,0.6431153779622902,0.642754662840746,0.7245322245322245,0.6598639455782312,0.4584199584199584,0.9426119365143755
spread_kepco_5y,20,ensemble,1548,0.4903100775193798,0.5768733850129198,0.5597701149425287,0.6416337285902504,0.5979128299570289,0.6182973728022497,0.6023890784982935,0.7571059431524548,0.6327543424317618,0.520671834625323,0.900285709493715
spread_ktb_10_30,10,ensemble,962,0.4896049896049896,0.5467775467775468,0.5404157043879908,0.4968152866242038,0.5176991150442478,0.5686129524649638,0.5701492537313433,0.6964656964656964,0.585635359116022,0.3762993762993763,0.7944031269364983
spread_ktb_10_30,20,ensemble,1548,0.5071059431524548,0.5613695090439277,0.5710455764075067,0.5426751592356688,0.5564990202482037,0.5617316826806689,0.5571687840290381,0.7118863049095607,0.5478645066273933,0.43863049095607237,0.7845374017801072
spread_ktb_3_10,10,ensemble,962,0.5166320166320166,0.5124740124740125,0.5295358649789029,0.5050301810865191,0.5169927909371782,0.5352155946431276,0.5310457516339869,0.6361746361746362,0.5756457564575646,0.2817047817047817,0.7160316739144545
spread_ktb_3_10,20,ensemble,1548,0.5116279069767442,0.5471576227390181,0.5799648506151143,0.4166666666666667,0.4849375459221161,0.5697166773555662,0.5645792563600783,0.6602067183462532,0.5768595041322314,0.39082687338501293,0.7820723122613554
spread_ktb_5_30,10,ensemble,962,0.5083160083160083,0.5124740124740125,0.5241545893719807,0.4437627811860941,0.4806201550387597,0.515609800386516,0.5179407176287052,0.6663201663201663,0.527972027972028,0.2972972972972973,0.6935541389814468
spread_ktb_5_30,20,ensemble,1548,0.5193798449612403,0.522609819121447,0.5404732254047323,0.5398009950248757,0.5401369010578718,0.5356182795698925,0.535031847133758,0.7099483204134367,0.5330330330330331,0.43023255813953487,0.7390701842127199
us_10y_xl,10,ensemble,2466,0.5198702351987023,0.4910786699107867,0.5102195306585919,0.5257410296411856,0.5178640030733769,0.4928552040730278,0.5006402048655569,0.6334144363341444,0.4805699481865285,0.31305758313057586,0.6491458648942393
us_10y_xl,20,ensemble,2456,0.5248371335504886,0.4837133550488599,0.5083665338645418,0.49495733126454616,0.5015723270440252,0.46761902672604455,0.47079037800687284,0.7109120521172638,0.4583732057416268,0.4254885993485342,0.6241266977231165
us_ig_oas_xl,10,ensemble,2466,0.4586374695863747,0.5113544201135442,0.46765734265734266,0.47303271441202477,0.4703296703296703,0.5003354560115505,0.5106628242074928,0.7035685320356854,0.4984984984984985,0.4051094890510949,0.6800991275550353
us_ig_oas_xl,20,ensemble,2456,0.42671009771986973,0.495928338762215,0.4091778202676864,0.4083969465648855,0.4087870105062082,0.4720957939365025,0.49208025343189016,0.7711726384364821,0.47966231772831924,0.5305374592833876,0.6512461522218528
us_spr_10_30,10,ensemble,2466,0.5158150851581509,0.5198702351987023,0.5380622837370242,0.4889937106918239,0.5123558484349259,0.5183418402283957,0.5070921985815603,0.6861313868613139,0.5156626506024097,0.33657745336577455,0.6986894878017791
us_spr_10_30,20,ensemble,2456,0.5146579804560261,0.5403094462540716,0.5543916196615633,0.5443037974683544,0.5493013972055888,0.5504298169229462,0.5453563714902808,0.754071661237785,0.5463917525773195,0.4739413680781759,0.7767873556412589
us_spr_2_10,10,ensemble,2466,0.46958637469586373,0.5802919708029197,0.5563703024747938,0.5241796200345423,0.539795464650956,0.6134627877865982,0.6191693290734824,0.6346309813463098,0.6464864864864864,0.3751013787510138,0.8545193333523784
us_spr_2_10,20,ensemble,2456,0.47068403908794787,0.5855048859934854,0.5586734693877551,0.5683391003460208,0.5634648370497427,0.6266868512110726,0.6175548589341693,0.7793159609120521,0.6463595839524517,0.5480456026058632,0.9282926566392029
us_spr_5_30,10,ensemble,2466,0.5028386050283861,0.5304136253041363,0.5349829351535836,0.5056451612903226,0.5199004975124378,0.5470287586170605,0.5335710041592394,0.6824817518248175,0.5746606334841629,0.3584752635847526,0.7462306342205155
us_spr_5_30,20,ensemble,2456,0.5085504885993485,0.5333876221498371,0.5426677713338857,0.5244195356285029,0.5333876221498371,0.5718748984274413,0.560622914349277,0.7320846905537459,0.5979983319432861,0.48819218241042345,0.8065857687917983
