feature,avg_importance
lvl_cnykrw,389.7450980392157
ret20_cnykrw,385.73039215686276
z60_us_ffr,302.72156375490846
z60_cd_91d,293.01089556461466
z60_cd_base_spread,290.0791580789221
z252_cd_base_spread,281.4752522237057
ret20_kospi,274.34250625723115
vol20_ktb_10y,263.2267883601602
z60_ktb_30y,261.7201849329511
vol20_ktb_3y,257.9554724413422
z252_cd_91d,253.78179584485343
d60_slope_30y10y,251.14108749502353
z252_ktb_30y,250.4209302708691
d5_ktb_30y,246.3371044069802
vol20_ktb_5y,240.88335541236088
d20_usdkrw_range,239.75662034033797
sp_corp_aa_3y,237.93638444456576
fgn_kospi_cum20,237.6592579565299
vol20_kospi,236.13539961248395
slope_30y10y,235.8055051858425
z60_sp_indfin_1y,235.3060598152341
d60_ktb_30y,234.38529769884414
d60_slope_10y3y,231.9048220441811
slope_30y5y,229.93979217874235
d20_sp_kepco_5y,229.78178649692293
lvl_ktb_30y,229.6598493100944
sp_kepco_5y,223.28450835432767
d5_tedrate,220.18826371128162
d60_ktb3y_base_spread,219.55913964305952
z60_tedrate,217.61497208934625
