run_id,target,lookback_weeks,forward_weeks,retrain_days,target_thr_bp,regime_strength_min,lookback_days,forward_days,period,n_persist
L12W_F2W_R63d_T0bp_S0.0,ktb_10y,12,2,63,0.0,0.0,60,10,quarter,3867
L12W_F2W_R63d_T0bp_S0.0,ktb_30y,12,2,63,0.0,0.0,60,10,quarter,3307
L12W_F2W_R63d_T0bp_S0.0,ktb_3y,12,2,63,0.0,0.0,60,10,quarter,3867
L12W_F2W_R63d_T0bp_S0.0,ktb_5y,12,2,63,0.0,0.0,60,10,quarter,3867
L12W_F2W_R63d_T0bp_S0.0,spread_aa_3y,12,2,63,0.0,0.0,60,10,quarter,3867
L12W_F2W_R63d_T0bp_S0.0,spread_bbb_3y,12,2,63,0.0,0.0,60,10,quarter,3867
L12W_F2W_R63d_T0bp_S0.0,spread_kepco_5y,12,2,63,0.0,0.0,60,10,quarter,3867
L12W_F2W_R63d_T0bp_S0.0,spread_ktb_10_30,12,2,63,0.0,0.0,60,10,quarter,3307
L12W_F2W_R63d_T0bp_S0.0,spread_ktb_3_10,12,2,63,0.0,0.0,60,10,quarter,3867
L12W_F2W_R63d_T0bp_S0.0,spread_ktb_5_30,12,2,63,0.0,0.0,60,10,quarter,3307
L12W_F2W_R63d_T0bp_S0.0,us_10y_xl,12,2,63,0.0,0.0,60,10,quarter,4087
L12W_F2W_R63d_T0bp_S0.0,us_ig_oas_xl,12,2,63,0.0,0.0,60,10,quarter,4087
L12W_F2W_R63d_T0bp_S0.0,us_spr_10_30,12,2,63,0.0,0.0,60,10,quarter,4086
L12W_F2W_R63d_T0bp_S0.0,us_spr_2_10,12,2,63,0.0,0.0,60,10,quarter,4086
L12W_F2W_R63d_T0bp_S0.0,us_spr_5_30,12,2,63,0.0,0.0,60,10,quarter,4086
L12W_F2W_R63d_T10bp_S0.0,ktb_10y,12,2,63,10.0,0.0,60,10,quarter,1484
L12W_F2W_R63d_T10bp_S0.0,ktb_30y,12,2,63,10.0,0.0,60,10,quarter,1147
L12W_F2W_R63d_T10bp_S0.0,ktb_3y,12,2,63,10.0,0.0,60,10,quarter,1143
L12W_F2W_R63d_T10bp_S0.0,ktb_5y,12,2,63,10.0,0.0,60,10,quarter,1387
L12W_F2W_R63d_T10bp_S0.0,spread_ktb_3_10,12,2,63,10.0,0.0,60,10,quarter,354
L12W_F2W_R63d_T10bp_S0.0,spread_ktb_5_30,12,2,63,10.0,0.0,60,10,quarter,279
L12W_F2W_R63d_T10bp_S0.0,us_10y_xl,12,2,63,10.0,0.0,60,10,quarter,1983
L12W_F2W_R63d_T10bp_S0.0,us_ig_oas_xl,12,2,63,10.0,0.0,60,10,quarter,543
L12W_F2W_R63d_T10bp_S0.0,us_spr_10_30,12,2,63,10.0,0.0,60,10,quarter,298
L12W_F2W_R63d_T10bp_S0.0,us_spr_2_10,12,2,63,10.0,0.0,60,10,quarter,1154
L12W_F2W_R63d_T10bp_S0.0,us_spr_5_30,12,2,63,10.0,0.0,60,10,quarter,1045
L12W_F4W_R63d_T0bp_S0.0,ktb_10y,12,4,63,0.0,0.0,60,20,quarter,3857
L12W_F4W_R63d_T0bp_S0.0,ktb_30y,12,4,63,0.0,0.0,60,20,quarter,3297
L12W_F4W_R63d_T0bp_S0.0,ktb_3y,12,4,63,0.0,0.0,60,20,quarter,3857
