target,run_id,n_features,features
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,80,"z252_ktb_5y,z252_ktb_10y,d20_yh_dxy,z60_us_ig_oas_xl,lvl_usdkrw,z60_ktb_30y,vol20_ktb_5y,vol20_ktb_10y,d20_tedrate,z252_ktb_3y,ret20_usdkrw,ret20_kospi,kr_price_cpi_total_mom,z252_us_spr_10_30,z60_sp_corp_bbb_3y,fgn_kospi,z60_yh_gold,z60_tedrate,fgn_kospi_cum20,d60_ktb_1y,z252_ktb_20y,z60_usdkrw,ret20_eurkrw,cd_base_spread,d60_bfly_3_5_10 ..."
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,80,"d60_slope_10y3y,z252_us_spr_2_10,d20_yh_dxy,vol20_ktb_5y,z60_sp_corp_aa_3y,d20_dxy_broad,z60_vol_kospi,ret20_jpykrw,z252_ktb_3y,slope_30y5y,z60_yh_dxy,d60_slope_30y5y,vol20_ktb_10y,z252_us_spr_10_30,z60_dxy_broad,d20_us_spr_5_30,slope_30y10y,z252_ktb_10y,z252_cd_base_spread,z252_us_spr_5_30,z252_ktb_1y,z252_ktb_30y,z60_usdkrw,d5_yh_gold,d20_us_spr_10_30 ..."
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,80,"d60_ktb_1y,ret20_usdkrw,z60_sp_corp_bbb_3y,z60_brent,z60_sp_indfin_1y,z60_kospi,d20_usdkrw_range,lvl_usdkrw,z60_eurkrw,z60_cd_91d,lvl_brent,kr_sent_csi_total_lvl,z252_cd_base_spread,d20_brent,fgn_kospi_cum20,ret20_kospi,z60_sp_kepco_5y,z60_us_ffr,z252_ktb_1y,z60_slope_30y5y,d5_bfly_3_5_10,vol20_ktb_10y,d60_slope_30y10y,vol20_ktb_5y,sp_kepco_5y ..."
ktb_5y,L12W_F2W_R63d_T0bp_S0.0,80,"d60_ktb_3y,vol20_ktb_3y,lvl_us_ig_oas_xl,ret20_eurkrw,lvl_usdkrw,z252_cd_base_spread,z60_us_ig_oas_xl,ret20_kospi,vol20_ktb_5y,z60_yh_dxy,z252_ktb_20y,z60_cd_91d,z60_us_bei_5y5y,z252_ktb_5y,d20_dxy_broad,z252_us_spr_5_30,z60_cd_base_spread,d20_sp_kepco_5y,z60_us_ffr,d20_ktb_1y,slope_30y5y,z252_ktb_10y,d5_slope_30y5y,d20_brent,d20_yh_gold ..."
spread_aa_3y,L12W_F2W_R63d_T0bp_S0.0,80,"z60_sp_corp_aa_3y,d20_usdkrw_range,z60_kospi,lvl_us_ig_oas_xl,z60_cd_base_spread,z60_slope_10y3y,z252_cd_base_spread,ret20_kospi,ret20_eurkrw,z60_sp_corp_bbb_3y,d20_sp_corp_aa_3y,z60_sp_kepco_5y,z60_us_spr_10_30,vol20_ktb_3y,ret20_jpykrw,d20_yh_gold,d20_sp_corp_bbb_3y,d20_us_bei_5y5y,z60_ktb_1y,fgn_kospi_cum20,vol20_kospi,sp_kepco_5y,d20_sp_kepco_5y,z60_dxy_broad,d5_yh_gold ..."
spread_bbb_3y,L12W_F2W_R63d_T0bp_S0.0,80,"lvl_dxy_broad,z60_sp_corp_aa_3y,fgn_kospi_cum20,z60_ktb_1y,z60_sp_indfin_1y,z60_eurkrw,z60_ktb_3y,sp_indfin_1y,lvl_jpykrw,vol20_kospi,lvl_yh_dxy,d20_usdkrw_range,d20_bfly_3_5_10,d20_ktb_1y,d20_sp_indfin_1y,d5_us_10y2y,lvl_wti,d20_sp_kepco_5y,z252_cd_base_spread,kr_growth_ip_total_lvl,z60_sp_corp_bbb_3y,z60_usdkrw,z60_us_bei_5y5y,d20_wti,z60_yh_gold ..."
spread_kepco_5y,L12W_F2W_R63d_T0bp_S0.0,80,"z60_sp_corp_bbb_3y,ret20_kospi,z60_kospi,z60_sp_indfin_1y,ret20_jpykrw,vol20_ktb_3y,z252_bfly_3_5_10,kr_growth_cli_lead_mom,z60_slope_10y3y,lvl_usdkrw,d20_us_bei_10y,d20_slope_10y3y,sp_kepco_5y,z60_yh_dxy,vol20_kospi,d20_sp_corp_aa_3y,ret20_eurkrw,z60_bfly_3_5_10,z60_usdkrw,d60_ktb3y_base_spread,d20_sp_corp_bbb_3y,ret20_usdkrw,fgn_kospi_cum20,d5_yh_dxy,z60_tedrate ..."
spread_ktb_10_30,L12W_F2W_R63d_T0bp_S0.0,80,"z252_slope_30y10y,d20_us_spr_5_30,z60_sp_indfin_1y,z252_cd_base_spread,d60_slope_30y5y,z252_cd_91d,d60_slope_30y10y,d20_sp_corp_bbb_3y,z60_sp500,z60_cd_91d,z252_slope_30y5y,vol20_ktb_10y,d20_sp_indfin_1y,z60_cd_base_spread,d5_vixcls,ret20_eurkrw,z60_sp_corp_bbb_3y,vol20_kospi,d20_sp_corp_aa_3y,d5_us_2y,d5_us_real_10y,lvl_yh_gold,slope_10y3y,d20_us_spr_10_30,vol20_ktb_3y ..."
spread_ktb_3_10,L12W_F2W_R63d_T0bp_S0.0,80,"d60_slope_10y3y,z252_slope_10y3y,fgn_kospi_cum20,z60_slope_10y3y,vol20_ktb_10y,z60_sp_kepco_5y,d20_us_real_10y,lvl_wti,d20_us_5y,vol20_kospi,slope_30y10y,lvl_tedrate,z60_us_ig_oas_xl,z60_sp_indfin_1y,d20_slope_10y3y,d5_slope_30y5y,d20_slope_30y5y,d20_ktb3y_base_spread,z60_cd_91d,z60_usdkrw,z60_us_bei_5y5y,z252_cd_91d,z60_sp_corp_bbb_3y,d20_sp_indfin_1y,d60_ktb3y_base_spread ..."
spread_ktb_5_30,L12W_F2W_R63d_T0bp_S0.0,285,"lvl_ktb_1y,lvl_ktb_3y,lvl_ktb_5y,lvl_ktb_10y,lvl_ktb_20y,lvl_ktb_30y,lvl_cd_91d,slope_10y2y,slope_30y10y,slope_30y5y,slope_10y3y,bfly_3_5_10,ktb3y_base_spread,cd_base_spread,d5_ktb_1y,d20_ktb_1y,d60_ktb_1y,z20_ktb_1y,z60_ktb_1y,z252_ktb_1y,d5_ktb_3y,d20_ktb_3y,d60_ktb_3y,z20_ktb_3y,z60_ktb_3y ..."
