target,run_id,direction,model,year,n,accuracy,auc,hit@60,cov@60
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2018,245,0.9591836734693877,0.6991489361702128,0.9590163934426229,0.9959183673469387
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2019,247,0.8785425101214575,0.7698924731182796,0.8796680497925311,0.9757085020242915
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2020,249,0.7550200803212851,0.4985890652557319,0.7584745762711864,0.9477911646586346
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2021,249,0.9196787148594378,0.45742358078602624,0.9196787148594378,1.0
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2022,247,0.9230769230769231,0.9179745889387144,0.9297520661157025,0.979757085020243
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2023,246,0.8008130081300813,0.6316747572815534,0.8281938325991189,0.9227642276422764
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2024,245,0.8448979591836735,0.5536585365853659,0.8546255506607929,0.926530612244898
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2025,243,0.8683127572016461,0.7917057902973396,0.8883928571428571,0.9218106995884774
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2026,86,1.0,,1.0,1.0
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2018,245,0.7918367346938775,0.74,0.8390243902439024,0.8367346938775511
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2019,247,0.7651821862348178,0.7210445468509984,0.815668202764977,0.8785425101214575
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2020,249,0.6506024096385542,0.4015873015873016,0.6650246305418719,0.8152610441767069
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2021,249,0.9196787148594378,0.7893013100436682,0.9196787148594378,1.0
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2022,247,0.8704453441295547,0.8318385650224216,0.9017094017094017,0.9473684210526315
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2023,246,0.6504065040650406,0.679733009708738,0.7025641025641025,0.7926829268292683
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2024,245,0.6693877551020408,0.5429268292682927,0.7425149700598802,0.6816326530612244
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2025,243,0.7037037037037037,0.7394366197183099,0.7361111111111112,0.8888888888888888
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2026,86,0.9418604651162791,,0.9753086419753086,0.9418604651162791
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2018,245,0.9591836734693877,0.6463829787234042,0.9591836734693877,1.0
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2019,247,0.8623481781376519,0.8596006144393241,0.9209302325581395,0.8704453441295547
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2020,249,0.751004016064257,0.4748677248677249,0.7431192660550459,0.8755020080321285
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2021,249,0.9196787148594378,0.45196506550218335,0.9196787148594378,1.0
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2022,247,0.902834008097166,0.8579970104633781,0.925,0.97165991902834
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2023,246,0.8089430894308943,0.7086165048543689,0.8606965174129353,0.8170731707317073
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2024,245,0.8326530612244898,0.6025609756097561,0.8421052631578947,0.7755102040816326
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2025,243,0.8806584362139918,0.8560250391236307,0.9555555555555556,0.7407407407407407
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2026,86,1.0,,1.0,1.0
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2018,245,0.9591836734693877,0.5646808510638299,0.9591836734693877,1.0
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2019,247,0.8623481781376519,0.8402457757296466,0.9112149532710281,0.8663967611336032
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2020,249,0.7670682730923695,0.4535273368606702,0.7370892018779343,0.8554216867469879
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2021,249,0.9196787148594378,0.5430131004366812,0.9196787148594378,1.0
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2022,247,0.9068825910931174,0.8494020926756353,0.9388646288209607,0.9271255060728745
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2023,246,0.8292682926829268,0.6606796116504853,0.8670520231213873,0.7032520325203252
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2024,245,0.8081632653061225,0.6240243902439024,0.8591549295774648,0.5795918367346938
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2025,243,0.8477366255144033,0.8762128325508607,1.0,0.5390946502057613
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2026,86,1.0,,1.0,1.0
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2018,245,0.9591836734693877,0.8804255319148935,0.9591836734693877,1.0
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2019,247,0.8663967611336032,0.8615975422427036,0.8776371308016878,0.9595141700404858
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2020,249,0.751004016064257,0.32319223985890655,0.7458333333333333,0.963855421686747
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2021,249,0.9196787148594378,0.5921397379912663,0.9196787148594378,1.0
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2022,247,0.9068825910931174,0.7798953662182362,0.9139344262295082,0.9878542510121457
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2023,246,0.8089430894308943,0.6489077669902912,0.8227848101265823,0.9634146341463414
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2024,245,0.8367346938775511,0.5752439024390243,0.8398268398268398,0.9428571428571428
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2025,243,0.8847736625514403,0.8090766823161188,0.92,0.9259259259259259
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2026,86,0.9883720930232558,,1.0,0.9534883720930233
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2018,245,0.9551020408163265,0.24042553191489363,0.9549180327868853,0.9959183673469387
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2019,247,0.6477732793522267,0.6155145929339478,0.6666666666666666,0.9473684210526315
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2020,249,0.46987951807228917,0.3829805996472663,0.46938775510204084,0.9839357429718876
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2021,249,0.7670682730923695,0.8903930131004366,0.7708333333333334,0.963855421686747
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2022,247,0.6680161943319838,0.8933109118086697,0.6652542372881356,0.9554655870445344
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2023,246,0.5772357723577236,0.3257281553398058,0.5813953488372093,0.8739837398373984
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2024,245,0.49795918367346936,0.671951219512195,0.48148148148148145,0.8816326530612245
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2025,243,0.6666666666666666,0.6763693270735525,0.7077625570776256,0.9012345679012346
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2026,86,0.36046511627906974,,0.35294117647058826,0.9883720930232558
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2018,245,0.9591836734693877,0.6595744680851063,0.9591836734693877,1.0
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2019,247,0.8623481781376519,0.8344086021505376,0.8771929824561403,0.9230769230769231
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2020,249,0.7269076305220884,0.4326278659611993,0.7420814479638009,0.8875502008032129
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2021,249,0.9196787148594378,0.8410480349344978,0.9196787148594378,1.0
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2022,247,0.9271255060728745,0.9185351270553064,0.9404255319148936,0.951417004048583
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2023,246,0.8130081300813008,0.6110436893203883,0.8116591928251121,0.9065040650406504
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2024,245,0.8408163265306122,0.6409756097560975,0.8502415458937198,0.8448979591836735
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2025,243,0.8600823045267489,0.8003129890453835,0.8980582524271845,0.8477366255144033
ktb_10y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2026,86,1.0,,1.0,0.9767441860465116
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2018,245,0.9591836734693877,0.14702127659574468,0.9591836734693877,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2019,247,0.805668016194332,0.667741935483871,0.8205128205128205,0.9473684210526315
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2020,249,0.7991967871485943,0.43648325358851675,0.8109243697478992,0.9558232931726908
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2021,249,0.9196787148594378,0.4126637554585153,0.9193548387096774,0.9959839357429718
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2022,247,0.8785425101214575,0.6930875576036866,0.8780487804878049,0.9959514170040485
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2023,246,0.7520325203252033,0.6878306878306878,0.7631578947368421,0.926829268292683
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2024,245,0.8163265306122449,0.6159756097560976,0.8296943231441049,0.9346938775510204
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2025,243,0.8395061728395061,0.6276995305164319,0.8484848484848485,0.9506172839506173
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,lgbm,2026,86,1.0,,1.0,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2018,245,0.9510204081632653,0.19361702127659575,0.9583333333333334,0.9795918367346939
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2019,247,0.6477732793522267,0.7192012288786482,0.6978021978021978,0.7368421052631579
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2020,249,0.5662650602409639,0.38026315789473686,0.5799086757990868,0.8795180722891566
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2021,249,0.9196787148594378,0.3716157205240175,0.9196787148594378,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2022,247,0.8744939271255061,0.82073732718894,0.8842975206611571,0.979757085020243
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2023,246,0.6991869918699187,0.576058201058201,0.7064676616915423,0.8170731707317073
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2024,245,0.6489795918367347,0.6532926829268292,0.7263681592039801,0.8204081632653061
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2025,243,0.7119341563786008,0.5857589984350547,0.7464114832535885,0.8600823045267489
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,xgb,2026,86,1.0,,1.0,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2018,245,0.9591836734693877,0.1604255319148936,0.9591836734693877,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2019,247,0.7125506072874493,0.6972350230414747,0.7945945945945946,0.7489878542510121
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2020,249,0.7751004016064257,0.49988038277511965,0.824468085106383,0.7550200803212851
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2021,249,0.9196787148594378,0.2521834061135371,0.9196787148594378,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2022,247,0.8825910931174089,0.7920122887864823,0.8826086956521739,0.9311740890688259
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2023,246,0.6910569105691057,0.589021164021164,0.7976190476190477,0.6829268292682927
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2024,245,0.5877551020408164,0.6192682926829268,0.7099236641221374,0.5346938775510204
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2025,243,0.7654320987654321,0.6697965571205009,0.8361581920903954,0.7283950617283951
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,rf,2026,86,1.0,,1.0,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2018,245,0.9591836734693877,0.26553191489361705,0.9591836734693877,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2019,247,0.7813765182186235,0.6348694316436252,0.8901098901098901,0.7368421052631579
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2020,249,0.8393574297188755,0.3665071770334928,0.8009950248756219,0.8072289156626506
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2021,249,0.9196787148594378,0.23187772925764188,0.9196787148594378,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2022,247,0.8704453441295547,0.614900153609831,0.8708133971291866,0.8461538461538461
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2023,246,0.7235772357723578,0.38346560846560845,0.782608695652174,0.46747967479674796
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2024,245,0.6530612244897959,0.5513414634146341,0.8148148148148148,0.22040816326530613
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2025,243,0.7119341563786008,0.6272300469483568,0.9390243902439024,0.3374485596707819
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2026,86,1.0,,1.0,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2018,245,0.9591836734693877,0.24382978723404253,0.9591836734693877,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2019,247,0.7894736842105263,0.6158218125960062,0.8193832599118943,0.9190283400809717
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2020,249,0.8313253012048193,0.4093301435406698,0.8367346938775511,0.9839357429718876
