target,direction,run_id,model,selected,lookback_weeks,forward_weeks,retrain_days,target_thr_bp,regime_strength_min,accuracy,auc,hit@60,cov@60,hit@70,cov@70,composite,rank_in_group
ktb_10y,persist,L12W_F2W_R63d_T0bp_S0.0,et,False,12,2,63,0.0,0.0,0.8682547399124939,0.6893082832200053,0.9036860879904876,0.8176956733106465,0.9271417133706964,0.6071949440933399,1.1986658867661444,33.0
ktb_10y,persist,L12W_F2W_R63d_T0bp_S0.0,gbm,False,12,2,63,0.0,0.0,0.8716577540106952,0.6627776977129106,0.8804020100502512,0.9674282936315022,0.8841111693759832,0.9270782693242586,1.2272825719924534,27.0
ktb_10y,persist,L12W_F2W_R63d_T0bp_S0.0,lgbm,False,12,2,63,0.0,0.0,0.8740884783665532,0.6945314240046118,0.8836032388663968,0.9606222654350997,0.8916309012875536,0.9061740398638796,1.2840559093288957,19.0
ktb_10y,persist,L12W_F2W_R63d_T0bp_S0.0,logreg,False,12,2,63,0.0,0.0,0.6436558094312105,0.6115387302876658,0.6514994829369183,0.940204180845892,0.6633109619686801,0.8692270296548371,0.9861322160253706,60.0
ktb_10y,persist,L12W_F2W_R63d_T0bp_S0.0,rf,False,12,2,63,0.0,0.0,0.8701993193971803,0.7023377485468226,0.8974780701754386,0.8867282450170151,0.9145244215938304,0.7564414195430238,1.2612715814934188,21.0
ktb_10y,persist,L12W_F2W_R63d_T0bp_S0.0,xgb,False,12,2,63,0.0,0.0,0.7608167233835683,0.6641992130351427,0.8053197509903792,0.8590179873602334,0.8521269412559082,0.7199805542051532,1.1236817021693226,42.0
ktb_10y,persist,L12W_F2W_R63d_T10bp_S0.0,et,False,12,2,63,10.0,0.0,0.7846153846153846,0.4985725018782869,0.8295454545454546,0.7384615384615385,0.8539682539682539,0.4405594405594406,0.8039917407911397,87.0
ktb_10y,persist,L12W_F2W_R63d_T10bp_S0.0,gbm,False,12,2,63,10.0,0.0,0.7552447552447552,0.6050939143501126,0.7892156862745098,0.855944055944056,0.8254901960784313,0.7132867132867133,1.0138496634845244,59.0
ktb_10y,persist,L12W_F2W_R63d_T10bp_S0.0,lgbm,False,12,2,63,10.0,0.0,0.7902097902097902,0.5601803155522164,0.8053491827637445,0.9412587412587412,0.8253968253968254,0.8811188811188811,0.9848204988099803,61.0
ktb_10y,persist,L12W_F2W_R63d_T10bp_S0.0,logreg,False,12,2,63,10.0,0.0,0.627972027972028,0.4113298271975957,0.6289398280802292,0.9762237762237762,0.6351550960118169,0.9468531468531468,0.6638805882322034,108.0
ktb_10y,persist,L12W_F2W_R63d_T10bp_S0.0,rf,False,12,2,63,10.0,0.0,0.820979020979021,0.5667618332081142,0.8524046434494196,0.8433566433566434,0.8535031847133758,0.6587412587412588,0.9741962140038776,63.0
ktb_10y,persist,L12W_F2W_R63d_T10bp_S0.0,xgb,False,12,2,63,10.0,0.0,0.7846153846153846,0.5647182569496619,0.8093023255813954,0.902097902097902,0.8420138888888888,0.8055944055944056,0.9770020753101144,62.0
ktb_10y,persist,L12W_F4W_R63d_T0bp_S0.0,et,False,12,4,63,0.0,0.0,0.7293600390815828,0.6982670530688824,0.8073453608247423,0.7581827063996092,0.8712871287128713,0.5427454811919883,1.1256869932229172,41.0
