target,direction,threshold,n_trades,hit_rate,mean_pnl_bp,cum_pnl_bp,mean_abs_move_bp
ktb_10y,persist,0.55,707,0.5417256011315418,1.9753889674681753,1396.6,20.26025459688826
ktb_10y,persist,0.6,695,0.543884892086331,2.0333812949640286,1413.1999999999998,20.40374100719424
ktb_10y,persist,0.65,676,0.5488165680473372,2.307988165680474,1560.2000000000005,20.43284023668639
ktb_10y,persist,0.7,658,0.5562310030395137,2.6563829787234043,1747.9,20.42355623100304
ktb_30y,persist,0.55,2032,0.5255905511811023,0.5522145669291335,1122.0999999999992,9.532431102362205
ktb_30y,persist,0.6,2003,0.5232151772341488,0.48382426360459285,969.0999999999995,9.563904143784324
ktb_30y,persist,0.65,1975,0.5210126582278481,0.4779746835443038,944.0,9.600607594936708
ktb_30y,persist,0.7,1953,0.5202252944188428,0.4721966205837175,922.2000000000003,9.638709677419353
ktb_3y,persist,0.55,984,0.5752032520325203,3.0784552845528452,3029.2,14.103861788617886
ktb_3y,persist,0.6,953,0.5760755508919203,3.0927597061909755,2947.3999999999996,14.175865687303252
ktb_3y,persist,0.65,913,0.5859802847754655,3.261117196056955,2977.4,14.217524644030668
ktb_3y,persist,0.7,873,0.5956471935853379,3.514776632302405,3068.3999999999996,14.334478808705613
ktb_5y,persist,0.55,610,0.6131147540983607,4.645409836065573,2833.7,21.503442622950825
ktb_5y,persist,0.6,601,0.6123128119800333,4.638935108153078,2787.9999999999995,21.548752079866887
ktb_5y,persist,0.65,592,0.6114864864864865,4.633445945945945,2742.999999999999,21.634459459459464
ktb_5y,persist,0.7,573,0.6160558464223386,4.817801047120418,2760.5999999999995,21.760558464223383
spread_aa_3y,persist,0.55,2038,0.5191364082433758,0.001030421982335603,2.099999999999959,3.4605004906771355
spread_aa_3y,persist,0.6,2017,0.5171046108081309,-0.030143777887952247,-60.799999999999685,3.4487853247397133
spread_aa_3y,persist,0.65,1998,0.514014014014014,-0.07262262262262266,-145.10000000000008,3.4366866866866874
spread_aa_3y,persist,0.7,1965,0.5089058524173028,-0.18351145038167943,-360.6000000000001,3.3777099236641224
spread_bbb_3y,persist,0.55,2020,0.44752475247524753,-0.4983663366336629,-1006.6999999999991,3.344603960396042
spread_bbb_3y,persist,0.6,1988,0.44818913480885314,-0.46836016096579436,-931.0999999999992,3.283350100603624
spread_bbb_3y,persist,0.65,1952,0.4492827868852459,-0.44436475409836057,-867.3999999999999,3.2164959016393464
spread_bbb_3y,persist,0.7,1908,0.44654088050314467,-0.4503668763102726,-859.3000000000002,3.1609538784067106
spread_ktb_10_30,persist,0.55,1975,0.5027848101265823,-0.03594936708860778,-71.00000000000036,3.6357468354430384
spread_ktb_10_30,persist,0.6,1894,0.5036958817317846,-0.03231256599788831,-61.20000000000045,3.6524815205913415
spread_ktb_10_30,persist,0.65,1819,0.5057724024189115,-0.004398020890599644,-8.000000000000753,3.663001649257835
spread_ktb_10_30,persist,0.7,1710,0.508187134502924,0.02192982456140279,37.49999999999877,3.6759649122807025
spread_ktb_3_10,persist,0.55,2014,0.5079443892750745,-0.03336643495531272,-67.19999999999982,4.367527308838134
spread_ktb_3_10,persist,0.6,1994,0.5085255767301906,-0.021213640922768225,-42.29999999999984,4.373671013039117
spread_ktb_3_10,persist,0.65,1965,0.5104325699745547,0.023053435114503924,45.30000000000021,4.378880407124682
spread_ktb_3_10,persist,0.7,1915,0.5143603133159269,0.06657963446475207,127.5000000000002,4.38668407310705
spread_ktb_5_30,persist,0.55,1955,0.5176470588235295,0.0628644501278771,122.89999999999972,4.5937084398977
spread_ktb_5_30,persist,0.6,1850,0.5194594594594595,0.10767567567567579,199.20000000000022,4.54345945945946
spread_ktb_5_30,persist,0.65,1707,0.517867603983597,0.08500292911540709,145.0999999999999,4.494961921499708
spread_ktb_5_30,persist,0.7,1535,0.5250814332247556,0.1882084690553748,288.9000000000003,4.398371335504887
